Ⲉⲣϣⲁⲛ	ACOND	ⲉⲣϣⲁⲛ
ⲧ	ART	ⲧ
ⲃⲁϣⲟⲣ⳿	N	ⲃⲁϣⲟⲣ
ⲁϣ	V	ⲁϣϣⲕⲁⲕ
ⲉⲃⲟⲗ⳿	ADV	ⲉⲃⲟⲗ
ⲁⲛ`	NEG	ⲁⲛ
ⲉⲧⲉ	CREL	ⲉⲧⲉ
ⲛ̄ⲧⲟⲕ	PPERI	ⲛⲧⲟⲕ
ⲡⲉ⳿	COP	ⲡⲉ
ⲡ︤	ART	ⲡ
ϩ︦ⲙ︥ϩⲁⲗ	N	ϩⲙϩⲁⲗ
ⲙ̄	PREP	ⲙ
ⲡ	ART	ⲡ
ⲙⲁⲙⲙⲱⲛⲁⲥ⳿	NPROP	ⲙⲁⲙⲙⲱⲛⲁⲥ
ϩ︤ⲛ︥	PREP	ϩⲛ
ϩⲉⲛ	ART	ϩⲉⲛ
ϩⲣⲟⲟⲩ	N	ϩⲣⲟⲟⲩ
ⲉ	CREL	ⲉ
ⲩ	PPERS	ⲩ
ⲟϣ⳿	VSTAT	ⲟϣ
,	PUNCT	,
ⲉⲣⲉ	CFOC	ⲉⲣⲉ
ⲡ	ART	ⲡ
ⲙⲟⲩⲓ̈	N	ⲙⲟⲩⲓ
ⲧ︤ⲣ︥ⲣⲉ⳿	V	ⲧⲣⲣⲉ
ⲉⲧⲉ	CREL	ⲉⲧⲉ
ⲁⲛⲟⲕ	PPERI	ⲁⲛⲟⲕ
ⲡⲉ⳿	COP	ⲡⲉ
ⲡ︤	ART	ⲡ
ϩ︦ⲙ︥ϩⲁⲗ	N	ϩⲙϩⲁⲗ
ⲙ̄	PREP	ⲙ
ⲡⲉ	ART	ⲡⲉ
ⲭ︤ⲥ︥	N	ⲭⲣⲓⲥⲧⲟⲥ
,	PUNCT	,
ϯ	PPERS	ϯ
ⲥⲟⲟⲩⲛ	V	ⲥⲟⲟⲩⲛ
ϫⲉ	CONJ	ϫⲉ
ⲉ	CFOC	ⲉ
ⲕ	PPERS	ⲕ
ϯ	V	ϯ
ⲟⲩⲃⲏ	PREP	ⲟⲩⲃⲏ
ⲓ̈	PPERO	ⲓ
ⲁⲛ⳿	NEG	ⲁⲛ
,	PUNCT	,
ⲁⲗⲗⲁ	CONJ	ⲁⲗⲗⲁ
ⲉ	CFOC	ⲉ
ⲕ	PPERS	ⲕ
ϯ	V	ϯ
ⲟⲩⲃⲉ	PREP	ⲟⲩⲃⲉ
ⲓ︤ⲥ︥	NPROP	ⲓⲏⲥⲟⲩⲥ
ⲉⲧ	CREL	ⲉⲧ
ⲟⲩⲏϩ	VSTAT	ⲟⲩⲏϩ
ϩ︤ⲛ︥	PREP	ϩⲛ
ⲛⲉ	ART	ⲛⲉ
ⲭⲣⲉⲓⲥⲧⲓⲁⲛⲟⲥ⳿	N	ⲭⲣⲉⲓⲥⲧⲓⲁⲛⲟⲥ
.	PUNCT	.
ⲓ︤ⲥ︥	NPROP	ⲓⲏⲥⲟⲩⲥ
ⲟⲛ⳿	ADV	ⲟⲛ
ⲣⲱϣⲉ	V	ⲣⲱϣⲉ
ⲉⲣⲟ	PREP	ⲉⲣⲟ
ⲕ	PPERO	ⲕ
ⲛ̄ⲧⲟⲕ	PPERI	ⲛⲧⲟⲕ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲡⲉⲕ	PPOS	ⲡⲉⲕ
ⲉⲓⲱⲧ	N	ⲉⲓⲱⲧ
ⲡ	ART	ⲡ
ⲇⲓⲁⲃⲟⲗⲟⲥ⳿	N	ⲇⲓⲁⲃⲟⲗⲟⲥ
ⲉⲧ	CREL	ⲉⲧ
ⲟⲩⲏϩ⳿	VSTAT	ⲟⲩⲏϩ
ⲛ̄ϩⲏⲧ︤	PREP	ⲛϩⲏⲧ
ⲕ︥	PPERO	ⲕ
ⲉⲧ︤	CREL	ⲉⲧ
ⲕ︥	PPERS	ⲕ
ϩⲉⲗⲡⲓⲍⲉ⳿	V	ϩⲉⲗⲡⲓⲍⲉ
ⲉⲣⲟ	PREP	ⲉⲣⲟ
ϥ	PPERO	ϥ
·	PUNCT	·
ⲛ̄ⲧⲟⲟⲩ	PPERI	ⲛⲧⲟⲟⲩ
ϩⲱ	IMOD	ϩⲱ
ⲟⲩ	PPERO	ⲟⲩ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲡⲉⲩ	PPOS	ⲡⲉⲩ
ⲉⲓⲱⲧ⳿	N	ⲉⲓⲱⲧ
ⲉⲧ	CREL	ⲉⲧ
ⲟⲩⲏϩ	VSTAT	ⲟⲩⲏϩ
ⲛ̄ϩⲏⲧ	PREP	ⲛϩⲏⲧ
ⲟⲩ	PPERO	ⲟⲩ
ⲓ︤ⲥ︥	N	ⲓⲏⲥⲟⲩⲥ
ⲉⲧ	CREL	ⲉⲧ
ⲟⲩ	PPERS	ⲟⲩ
ⲕⲱ⳿	V	ⲕⲱ
ⲛ̄	PREP	ⲛ
ϩⲧⲏ	N	ϩⲧⲏ
ⲩ	PPERO	ⲩ
ⲉⲣⲟ	PREP	ⲉⲣⲟ
ϥ	PPERO	ϥ
·	PUNCT	·
